City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,villa gesell,-37.2639,-56.973,286.13,66,3,2.67,AR,1724791592
1,senillosa,-39.0,-68.4167,288.03,29,70,5.14,AR,1724791660
2,adamstown,-25.066,-130.1015,292.6,71,99,7.83,PN,1724791661
3,ushuaia,-54.8,-68.3,279.96,61,20,5.14,AR,1724791663
4,invercargill,-46.4,168.35,280.94,98,53,0.89,NZ,1724791665
5,walvis bay,-22.9575,14.5053,287.02,79,0,7.71,NA,1724791666
6,muang phonsavan,19.45,103.2167,291.93,99,100,0.51,LA,1724791667
7,bilibino,68.0546,166.4372,276.61,85,100,2.45,RU,1724791668
8,lebu,-37.6167,-73.65,282.23,70,100,6.38,CL,1724791669
9,mpulungu,-8.7623,31.1141,298.41,45,38,2.04,ZM,1724791671
10,west island,-12.1568,96.8225,299.14,89,75,6.69,CC,1724791480
11,atafu village,-8.5421,-172.5159,301.0,74,38,4.99,TK,1724791673
12,san patricio,28.017,-97.5169,307.12,44,96,6.1,US,1724791674
13,grytviken,-54.2811,-36.5092,276.35,83,91,4.27,GS,1724791675
14,opuwo,-18.0607,13.84,293.06,18,0,2.32,NA,1724791676
15,khanty-mansiysk,61.0042,69.0019,288.21,88,0,2.0,RU,1724791677
16,tiksi,71.6872,128.8694,275.57,84,97,3.11,RU,1724791678
17,sandnessjoen,66.0217,12.6316,285.21,71,40,3.6,NO,1724791680
18,sorong,-0.8833,131.25,298.18,90,100,3.27,ID,1724791681
19,bethel,41.3712,-73.414,302.96,60,40,1.54,US,1724791392
20,whakatane,-37.9585,176.9854,286.77,99,100,0.45,NZ,1724791683
21,hawaiian paradise park,19.5933,-154.9731,301.33,73,40,1.54,US,1724791684
22,ribeira grande,38.5167,-28.7,297.37,64,20,3.6,PT,1724791685
23,yellowknife,62.456,-114.3525,293.38,76,75,2.57,CA,1724791686
24,puerto ayora,-0.7393,-90.3518,293.46,91,71,2.68,EC,1724791612
25,prince rupert,54.3161,-130.3201,286.98,82,0,3.09,CA,1724791689
26,santa rosa de rio primero,-31.1523,-63.4019,292.51,29,1,5.18,AR,1724791690
27,lospalos,-8.5186,127.0025,293.93,94,88,3.11,TL,1724791691
28,constantia,44.1833,28.65,296.53,69,100,7.34,RO,1724791446
29,port elizabeth,-33.918,25.5701,286.31,93,75,13.38,ZA,1724791693
30,tambuwal,12.4039,4.6469,298.37,86,94,3.54,NG,1724791694
31,saynshand,44.8824,110.1163,294.78,31,75,3.19,MN,1724791695
32,margaret river,-33.95,115.0667,286.62,67,100,4.33,AU,1724791544
33,charters towers,-20.1,146.2667,288.77,90,0,2.68,AU,1724791698
34,ilulissat,69.2167,-51.1,278.16,93,75,2.57,GL,1724791699
35,thinadhoo,0.5333,72.9333,301.31,76,94,2.32,MV,1724791700
36,puerto natales,-51.7236,-72.4875,283.4,43,75,9.26,CL,1724791701
37,great falls,47.5002,-111.3008,304.4,17,0,8.75,US,1724791702
38,longyearbyen,78.2186,15.6401,278.06,81,75,7.2,SJ,1724791703
39,egilsstadir,65.2653,-14.3948,280.1,100,100,6.17,IS,1724791705
40,ola,59.5833,151.2833,284.16,94,100,0.5,RU,1724791706
41,port-aux-francais,-49.35,70.2167,276.98,98,100,8.71,TF,1724791707
42,kapa'a,22.0752,-159.319,301.33,72,0,6.69,US,1724791552
43,thompson,55.7435,-97.8558,293.24,37,20,2.06,CA,1724791588
44,olonkinbyen,70.9221,-8.7187,276.48,81,35,1.68,SJ,1724791710
45,sabang,5.8933,95.3214,300.23,72,100,6.18,ID,1724791711
46,punta arenas,-53.15,-70.9167,281.21,57,75,8.75,CL,1724791595
47,oruro,-17.9833,-67.15,293.42,21,40,5.66,BO,1724791714
48,georgetown,5.4112,100.3354,298.12,93,40,1.54,MY,1724791210
49,encheng,22.1839,112.3026,300.18,82,100,2.0,CN,1724791716
50,hasaki,35.7333,140.8333,300.07,81,66,6.14,JP,1724791717
51,lubang,13.8584,120.124,299.3,94,100,11.14,PH,1724791718
52,vila velha,-20.3297,-40.2925,294.12,75,100,4.63,BR,1724791719
53,hermanus,-34.4187,19.2345,279.71,66,98,16.11,ZA,1724791720
54,kruisfontein,-34.0033,24.7314,282.65,81,100,14.36,ZA,1724791721
55,waitangi,-43.9535,-176.5597,285.27,98,100,4.47,NZ,1724791723
56,tsiombe,-25.3,45.4833,293.43,67,0,2.18,MG,1724791724
57,graaff-reinet,-32.2522,24.5308,283.72,53,0,3.44,ZA,1724791725
58,suntar,62.1444,117.6319,281.85,91,85,2.38,RU,1724791726
59,queenstown,-31.8976,26.8753,288.27,32,0,12.66,ZA,1724791560
60,afaahiti,-17.75,-149.2833,294.98,77,100,6.89,PF,1724791728
61,ust'-ordynskiy,52.805,104.7508,284.63,76,53,2.54,RU,1724791729
62,angra dos reis,-23.0067,-44.3181,289.19,69,11,0.19,BR,1724791494
63,banda aceh,5.5577,95.3222,298.28,77,100,2.98,ID,1724791732
64,sitka,57.0531,-135.33,286.09,88,100,3.09,US,1724791733
65,shanhecun,44.7,127.2,288.5,95,68,1.79,CN,1724791734
66,dompu,-8.5356,118.4622,294.75,98,97,1.04,ID,1724791735
67,bebra,50.9667,9.8,289.44,33,2,1.83,DE,1724791736
68,blackmans bay,-43.0167,147.3167,280.22,92,73,1.34,AU,1724791739
69,mugia,43.1041,-9.2179,290.88,86,2,1.38,ES,1724791740
70,kodiak,57.79,-152.4072,287.88,67,75,6.17,US,1724791535
71,atar,20.5169,-13.0499,305.93,41,79,5.84,MR,1724791742
72,bredasdorp,-34.5322,20.0403,280.65,74,61,11.82,ZA,1724791743
73,calabozo,8.9242,-67.4293,302.43,69,28,2.83,VE,1724791744
74,iskateley,67.6803,53.1512,285.11,78,64,5.65,RU,1724791543
75,priozersk,61.0393,30.1291,288.76,89,3,4.02,RU,1724791747
76,mar del plata,-38.0023,-57.5575,285.9,74,7,4.47,AR,1724791533
77,robertsport,6.7533,-11.3686,298.56,90,100,5.54,LR,1724791749
78,neryungri,56.6709,124.6491,284.98,90,100,2.32,RU,1724791750
79,brasileia,-11.0161,-68.7481,305.4,37,0,1.54,BR,1724791751
80,stanley,54.868,-1.6985,288.16,90,40,3.09,GB,1724791752
81,balabac,7.9868,117.0645,298.82,85,100,4.25,PH,1724791753
82,kerikeri,-35.2268,173.9474,284.77,94,100,2.81,NZ,1724791754
83,sanming,26.2486,117.6186,296.97,98,100,0.66,CN,1724791756
84,colonia,50.9333,6.95,294.24,68,0,2.06,DE,1724791757
85,keflavik,64.0049,-22.5624,283.39,87,0,2.57,IS,1724791759
86,rabo de peixe,37.8,-25.5833,295.88,68,20,3.6,PT,1724791760
87,veraval,20.9,70.3667,300.07,89,100,10.24,IN,1724791761
88,fort william,56.8165,-5.1121,287.21,93,100,1.37,GB,1724791762
89,horn,51.8715,8.9451,288.11,91,66,2.44,DE,1724791764
90,howrah,22.5892,88.3103,300.15,94,20,1.54,IN,1724791765
91,bahia de kino,28.8333,-111.9333,306.34,53,0,5.23,MX,1724791766
92,ugoofaaru,5.6667,73.0,301.01,76,85,2.24,MV,1724791767
93,iqaluit,63.7506,-68.5145,280.0,93,100,2.06,CA,1724791768
94,peace river,56.2501,-117.286,293.32,59,100,4.63,CA,1724791769
95,jasdan,22.0333,71.2,297.69,88,100,10.97,IN,1724791770
96,glendive,47.1053,-104.7125,299.92,31,0,4.49,US,1724791772
97,revda,56.801,59.9303,285.01,95,13,2.0,RU,1724791773
98,vila franca do campo,37.7167,-25.4333,296.38,76,76,2.32,PT,1724791774
99,tanjung pandan,-2.75,107.65,298.23,88,100,2.73,ID,1724791775
100,chonchi,-42.6128,-73.8092,281.01,81,100,1.35,CL,1724791776
101,puerto madryn,-42.7692,-65.0385,285.75,34,0,4.56,AR,1724791777
